51	5	5	17
14327	2	2	0	0
22292	2	0	1	0
22222	2	0	1	0
22166	2	1	0	2
20106	2	2	0	3
20729	2	1	0	0
18185	2	2	0	0
20698	2	3	0	0
12506	2	2	0	4
14696	2	1	1	0
20989	2	0	3	0
13823	2	5	0	0
15981	2	1	2	1
21404	2	2	0	2
16998	2	1	0	0
10329	2	2	0	1
16496	2	2	2	1
13864	2	2	0	0
16415	2	1	0	1
12430	2	1	0	2
18296	2	1	0	2
18821	2	3	0	1
18562	2	1	0	0
19331	2	1	0	2
19294	2	1	0	0
13467	2	1	0	0
19813	2	3	0	0
11262	2	1	0	1
15402	2	1	0	0
15969	2	3	0	0
22248	2	2	0	4
22184	2	2	0	1
22186	2	1	0	0
12895	2	5	0	1
21852	2	2	0	0
10724	2	3	0	0
13943	2	1	0	0
20629	2	1	0	0
21103	2	3	0	0
22105	2	5	0	0
12931	2	3	0	0
21300	2	1	0	0
21669	2	1	0	0
16773	2	1	0	1
19604	2	1	0	1
18010	2	1	0	2
18521	2	1	0	2
22346	2	3	0	0
17011	2	1	0	3
20031	2	1	0	3
44	1	8
92	1	8
276	1	8
80	1	8
379	2	6
3	7	9	12	11	
6	3	13	16	5	
9	13	3	6	18	
12	16	7	3	21	
10	5	18	21	3	
1	0	0	0	0	
2	0	0	0	0	
0	1	1	0	0	
1	1	1	0	0	
0	1	2	0	0	
2	2	2	0	0	
0	0	0	0	1	
1	0	0	0	1	
0	1	1	0	1	
1	1	1	0	1	
1	1	1	1	1	
0	0	0	0	2	
2	0	0	0	2	
0	1	2	0	2	
1	1	2	0	2	
1	1	2	2	2	
2	2	2	2	2	
